Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Category,Product,Unit_Price,Quantity,Discount,Sales,Profit,Month,Month_Number,Quarter
ORD00160,2025-01-12,CUST0003,Customer 3,West,Rajasthan,Furniture,Desk,4809,3,0.1,12984.3,3085.24,Jan,1,Q1
ORD00073,2025-01-12,CUST0170,Customer 170,North,Haryana,Technology,Monitor,37868,5,0.05,179873.0,45280.93,Jan,1,Q1
ORD00032,2025-01-13,CUST0039,Customer 39,West,Goa,Accessories,Backpack,5846,2,0.1,10522.8,1952.75,Jan,1,Q1
ORD00469,2025-01-14,CUST0059,Customer 59,South,Tamil Nadu,Accessories,Watch,5817,2,0.2,9307.2,2280.96,Jan,1,Q1
ORD00273,2025-01-16,CUST0002,Customer 2,East,Jharkhand,Office Supplies,Pens,1701,1,0.2,1360.8,312.6,Jan,1,Q1
ORD00587,2025-01-16,CUST0165,Customer 165,East,West Bengal,Office Supplies,Notebook,2448,3,0.05,6976.8,1415.65,Jan,1,Q1
ORD00122,2025-01-16,CUST0143,Customer 143,East,Jharkhand,Office Supplies,Notebook,568,5,0.1,2556.0,944.19,Jan,1,Q1
ORD00524,2025-01-16,CUST0043,Customer 43,West,Rajasthan,Technology,Keyboard,39370,1,0.05,37401.5,11552.64,Jan,1,Q1
ORD00485,2025-01-17,CUST0072,Customer 72,West,Rajasthan,Furniture,Bookshelf,12905,4,0.05,49039.0,8838.43,Jan,1,Q1
ORD00120,2025-01-17,CUST0012,Customer 12,North,Uttar Pradesh,Technology,Headphones,52674,5,0.0,263370.0,42098.31,Jan,1,Q1
ORD00144,2025-01-17,CUST0148,Customer 148,North,Haryana,Technology,Monitor,19471,4,0.0,77884.0,23970.26,Jan,1,Q1
ORD00028,2025-01-17,CUST0061,Customer 61,West,Goa,Office Supplies,Notebook,895,3,0.05,2550.75,498.79,Jan,1,Q1
ORD00460,2025-01-18,CUST0113,Customer 113,South,Tamil Nadu,Office Supplies,Notebook,954,4,0.1,3434.4,762.17,Jan,1,Q1
ORD00228,2025-01-19,CUST0165,Customer 165,West,Rajasthan,Furniture,Table Lamp,2424,1,0.05,2302.8,710.62,Jan,1,Q1
ORD00259,2025-01-21,CUST0119,Customer 119,East,Bihar,Accessories,Backpack,7433,1,0.05,7061.35,1015.52,Jan,1,Q1
ORD00389,2025-01-21,CUST0038,Customer 38,South,Tamil Nadu,Furniture,Desk,14352,5,0.0,71760.0,24071.52,Jan,1,Q1
ORD00307,2025-01-22,CUST0069,Customer 69,South,Telangana,Accessories,Wallet,5382,5,0.15,22873.5,8586.99,Jan,1,Q1
ORD00163,2025-01-24,CUST0097,Customer 97,West,Maharashtra,Technology,Headphones,59446,4,0.0,237784.0,35527.94,Jan,1,Q1
ORD00206,2025-01-25,CUST0169,Customer 169,South,Telangana,Office Supplies,File Folder,1128,5,0.05,5358.0,1948.38,Jan,1,Q1
ORD00531,2025-01-25,CUST0093,Customer 93,North,Uttar Pradesh,Accessories,Watch,6353,2,0.15,10800.1,2467.28,Jan,1,Q1
ORD00480,2025-01-25,CUST0047,Customer 47,East,West Bengal,Technology,Headphones,36899,1,0.0,36899.0,12507.85,Jan,1,Q1
ORD00549,2025-01-25,CUST0148,Customer 148,South,Telangana,Technology,Monitor,48404,5,0.0,242020.0,51655.74,Jan,1,Q1
ORD00542,2025-01-26,CUST0111,Customer 111,North,Uttar Pradesh,Furniture,Table Lamp,2484,3,0.15,6334.2,1913.05,Jan,1,Q1
ORD00468,2025-01-26,CUST0006,Customer 6,North,Haryana,Furniture,Sofa,13969,2,0.1,25144.2,6346.97,Jan,1,Q1
ORD00185,2025-01-27,CUST0019,Customer 19,East,Bihar,Furniture,Table Lamp,14813,5,0.1,66658.5,16961.9,Jan,1,Q1
ORD00591,2025-01-27,CUST0023,Customer 23,North,Delhi,Technology,Smartphone,57030,2,0.0,114060.0,36200.31,Jan,1,Q1
ORD00027,2025-01-27,CUST0115,Customer 115,West,Rajasthan,Office Supplies,Notebook,549,5,0.05,2607.75,423.85,Jan,1,Q1
ORD00150,2025-01-27,CUST0025,Customer 25,North,Haryana,Technology,Smartphone,18375,4,0.05,69825.0,18631.56,Jan,1,Q1
ORD00009,2025-01-28,CUST0033,Customer 33,West,Rajasthan,Office Supplies,Notebook,458,5,0.15,1946.5,435.51,Jan,1,Q1
ORD00518,2025-01-28,CUST0011,Customer 11,West,Gujarat,Office Supplies,Notebook,1541,1,0.0,1541.0,541.03,Jan,1,Q1
ORD00371,2025-01-29,CUST0135,Customer 135,West,Gujarat,Furniture,Office Chair,16650,3,0.1,44955.0,10597.48,Jan,1,Q1
ORD00525,2025-01-30,CUST0165,Customer 165,South,Kerala,Furniture,Bookshelf,14540,2,0.05,27626.0,7166.24,Jan,1,Q1
ORD00236,2025-01-30,CUST0147,Customer 147,North,Haryana,Office Supplies,Pens,1981,3,0.0,5943.0,1781.61,Jan,1,Q1
ORD00294,2025-01-31,CUST0136,Customer 136,West,Maharashtra,Office Supplies,Notebook,1009,4,0.05,3834.2,941.97,Jan,1,Q1
ORD00315,2025-01-31,CUST0021,Customer 21,North,Delhi,Technology,Laptop,57922,5,0.05,275129.5,54391.25,Jan,1,Q1
ORD00553,2025-02-03,CUST0147,Customer 147,North,Uttar Pradesh,Office Supplies,Pens,560,2,0.0,1120.0,213.06,Feb,2,Q1
ORD00551,2025-02-04,CUST0146,Customer 146,North,Punjab,Technology,Headphones,56431,1,0.05,53609.45,18758.48,Feb,2,Q1
ORD00010,2025-02-04,CUST0151,Customer 151,South,Kerala,Accessories,USB Cable,3895,5,0.1,17527.5,3978.5,Feb,2,Q1
ORD00197,2025-02-05,CUST0035,Customer 35,West,Maharashtra,Technology,Keyboard,60945,4,0.0,243780.0,59737.99,Feb,2,Q1
ORD00137,2025-02-06,CUST0124,Customer 124,North,Haryana,Accessories,Wallet,1224,3,0.1,3304.8,862.52,Feb,2,Q1
ORD00127,2025-02-08,CUST0013,Customer 13,East,Bihar,Technology,Headphones,28988,2,0.15,49279.6,9278.96,Feb,2,Q1
ORD00147,2025-02-08,CUST0174,Customer 174,West,Gujarat,Office Supplies,Pens,817,5,0.15,3472.25,1234.29,Feb,2,Q1
ORD00077,2025-02-08,CUST0018,Customer 18,West,Maharashtra,Office Supplies,Pens,1986,1,0.1,1787.4,601.02,Feb,2,Q1
ORD00081,2025-02-09,CUST0062,Customer 62,East,Bihar,Technology,Keyboard,11789,1,0.0,11789.0,2995.79,Feb,2,Q1
ORD00136,2025-02-09,CUST0029,Customer 29,South,Telangana,Technology,Laptop,18802,1,0.15,15981.7,5937.18,Feb,2,Q1
ORD00011,2025-02-11,CUST0001,Customer 1,East,Odisha,Furniture,Sofa,1202,3,0.05,3425.7,950.26,Feb,2,Q1
ORD00113,2025-02-11,CUST0109,Customer 109,North,Delhi,Office Supplies,Stapler,884,3,0.15,2254.2,570.04,Feb,2,Q1
ORD00332,2025-02-12,CUST0007,Customer 7,South,Telangana,Technology,Monitor,53155,1,0.05,50497.25,19172.55,Feb,2,Q1
ORD00056,2025-02-13,CUST0113,Customer 113,West,Gujarat,Office Supplies,Pens,903,1,0.0,903.0,134.39,Feb,2,Q1
ORD00489,2025-02-14,CUST0164,Customer 164,West,Rajasthan,Technology,Keyboard,5169,2,0.0,10338.0,3842.41,Feb,2,Q1
ORD00013,2025-02-14,CUST0071,Customer 71,North,Haryana,Furniture,Sofa,10614,3,0.0,31842.0,4995.14,Feb,2,Q1
ORD00333,2025-02-14,CUST0051,Customer 51,East,Odisha,Office Supplies,File Folder,536,3,0.15,1366.8,320.55,Feb,2,Q1
ORD00282,2025-02-14,CUST0011,Customer 11,North,Haryana,Furniture,Office Chair,2217,3,0.05,6318.45,991.6,Feb,2,Q1
ORD00545,2025-02-15,CUST0054,Customer 54,West,Goa,Furniture,Sofa,15697,4,0.1,56509.2,16102.85,Feb,2,Q1
ORD00370,2025-02-16,CUST0120,Customer 120,South,Tamil Nadu,Furniture,Table Lamp,17133,1,0.1,15419.7,4629.16,Feb,2,Q1
ORD00188,2025-02-16,CUST0118,Customer 118,East,Jharkhand,Furniture,Desk,2498,1,0.05,2373.1,601.91,Feb,2,Q1
ORD00520,2025-02-16,CUST0093,Customer 93,South,Tamil Nadu,Furniture,Bookshelf,15114,1,0.05,14358.3,4121.61,Feb,2,Q1
ORD00481,2025-02-17,CUST0094,Customer 94,North,Uttar Pradesh,Office Supplies,Printer Paper,454,1,0.0,454.0,155.13,Feb,2,Q1
ORD00216,2025-02-17,CUST0113,Customer 113,West,Maharashtra,Furniture,Desk,716,1,0.15,608.6,113.12,Feb,2,Q1
ORD00402,2025-02-17,CUST0139,Customer 139,East,Odisha,Accessories,Backpack,4014,1,0.1,3612.6,590.93,Feb,2,Q1
ORD00420,2025-02-20,CUST0110,Customer 110,East,Odisha,Technology,Headphones,47249,4,0.05,179546.2,59107.93,Feb,2,Q1
ORD00240,2025-02-20,CUST0107,Customer 107,East,Odisha,Technology,Monitor,29472,5,0.1,132624.0,20807.64,Feb,2,Q1
ORD00065,2025-02-20,CUST0083,Customer 83,West,Gujarat,Furniture,Sofa,14156,5,0.05,67241.0,23467.23,Feb,2,Q1
ORD00512,2025-02-21,CUST0019,Customer 19,East,Odisha,Office Supplies,Notebook,250,5,0.1,1125.0,220.28,Feb,2,Q1
ORD00582,2025-02-21,CUST0070,Customer 70,East,Jharkhand,Accessories,Watch,4815,2,0.05,9148.5,1298.06,Feb,2,Q1
ORD00050,2025-02-22,CUST0052,Customer 52,East,Jharkhand,Furniture,Table Lamp,6186,5,0.0,30930.0,7281.36,Feb,2,Q1
ORD00316,2025-02-22,CUST0054,Customer 54,West,Goa,Accessories,Watch,1837,4,0.1,6613.2,2129.03,Feb,2,Q1
ORD00509,2025-02-23,CUST0172,Customer 172,South,Karnataka,Furniture,Office Chair,14866,3,0.15,37908.3,5518.29,Feb,2,Q1
ORD00391,2025-02-24,CUST0122,Customer 122,South,Telangana,Furniture,Office Chair,15087,1,0.15,12823.95,4208.12,Feb,2,Q1
ORD00292,2025-02-25,CUST0034,Customer 34,West,Rajasthan,Technology,Keyboard,24167,4,0.05,91834.6,31754.33,Feb,2,Q1
ORD00431,2025-02-25,CUST0131,Customer 131,South,Kerala,Technology,Keyboard,58324,1,0.2,46659.2,12806.19,Feb,2,Q1
ORD00574,2025-02-25,CUST0153,Customer 153,North,Haryana,Furniture,Sofa,16406,2,0.0,32812.0,7246.36,Feb,2,Q1
ORD00590,2025-02-27,CUST0140,Customer 140,North,Delhi,Office Supplies,Printer Paper,1941,1,0.1,1746.9,598.51,Feb,2,Q1
ORD00143,2025-03-01,CUST0158,Customer 158,West,Gujarat,Office Supplies,File Folder,665,1,0.2,532.0,158.51,Mar,3,Q1
ORD00048,2025-03-03,CUST0013,Customer 13,North,Punjab,Accessories,Power Bank,2576,1,0.0,2576.0,745.35,Mar,3,Q1
ORD00082,2025-03-03,CUST0004,Customer 4,West,Rajasthan,Office Supplies,Printer Paper,1950,1,0.05,1852.5,382.55,Mar,3,Q1
ORD00408,2025-03-03,CUST0131,Customer 131,North,Haryana,Furniture,Sofa,16635,2,0.15,28279.5,6817.8,Mar,3,Q1
ORD00211,2025-03-03,CUST0166,Customer 166,West,Goa,Technology,Monitor,53654,2,0.0,107308.0,17943.51,Mar,3,Q1
ORD00212,2025-03-03,CUST0014,Customer 14,South,Kerala,Office Supplies,Pens,1844,5,0.1,8298.0,3131.27,Mar,3,Q1
ORD00008,2025-03-04,CUST0065,Customer 65,South,Karnataka,Furniture,Office Chair,16916,1,0.1,15224.4,5059.19,Mar,3,Q1
ORD00132,2025-03-04,CUST0153,Customer 153,East,Bihar,Accessories,Wallet,6957,4,0.0,27828.0,4278.4,Mar,3,Q1
ORD00089,2025-03-04,CUST0089,Customer 89,South,Tamil Nadu,Furniture,Table Lamp,11235,3,0.1,30334.5,7597.35,Mar,3,Q1
ORD00482,2025-03-05,CUST0149,Customer 149,North,Delhi,Technology,Headphones,41349,5,0.0,206745.0,65438.14,Mar,3,Q1
ORD00153,2025-03-05,CUST0063,Customer 63,North,Delhi,Technology,Laptop,6309,5,0.0,31545.0,5948.94,Mar,3,Q1
ORD00471,2025-03-06,CUST0152,Customer 152,East,Jharkhand,Office Supplies,Printer Paper,1420,5,0.05,6745.0,2149.76,Mar,3,Q1
ORD00062,2025-03-06,CUST0030,Customer 30,South,Kerala,Office Supplies,Notebook,956,5,0.0,4780.0,1384.52,Mar,3,Q1
ORD00275,2025-03-06,CUST0137,Customer 137,South,Karnataka,Accessories,Wallet,5693,3,0.15,14517.15,2454.05,Mar,3,Q1
ORD00312,2025-03-07,CUST0034,Customer 34,West,Goa,Furniture,Table Lamp,2792,5,0.0,13960.0,2393.49,Mar,3,Q1
ORD00277,2025-03-08,CUST0132,Customer 132,West,Rajasthan,Accessories,USB Cable,2096,4,0.0,8384.0,2412.22,Mar,3,Q1
ORD00090,2025-03-08,CUST0053,Customer 53,South,Telangana,Furniture,Office Chair,4387,3,0.05,12502.95,3456.23,Mar,3,Q1
ORD00382,2025-03-10,CUST0151,Customer 151,North,Delhi,Office Supplies,File Folder,1214,4,0.0,4856.0,1555.81,Mar,3,Q1
ORD00303,2025-03-11,CUST0005,Customer 5,West,Rajasthan,Furniture,Sofa,1907,4,0.05,7246.6,2693.77,Mar,3,Q1
ORD00462,2025-03-14,CUST0055,Customer 55,North,Delhi,Office Supplies,File Folder,2183,3,0.2,5239.2,1720.94,Mar,3,Q1
ORD00178,2025-03-14,CUST0063,Customer 63,West,Gujarat,Furniture,Sofa,6404,1,0.05,6083.8,1040.45,Mar,3,Q1
ORD00118,2025-03-14,CUST0109,Customer 109,East,West Bengal,Technology,Headphones,40090,2,0.1,72162.0,19208.3,Mar,3,Q1
ORD00595,2025-03-15,CUST0158,Customer 158,North,Uttar Pradesh,Accessories,Watch,6109,5,0.05,29017.75,10105.59,Mar,3,Q1
ORD00049,2025-03-17,CUST0019,Customer 19,South,Telangana,Furniture,Office Chair,15212,4,0.0,60848.0,9900.48,Mar,3,Q1
ORD00156,2025-03-18,CUST0168,Customer 168,West,Gujarat,Furniture,Table Lamp,17085,1,0.0,17085.0,5054.59,Mar,3,Q1
ORD00088,2025-03-19,CUST0060,Customer 60,West,Gujarat,Office Supplies,Pens,1394,5,0.0,6970.0,2254.33,Mar,3,Q1
ORD00146,2025-03-20,CUST0125,Customer 125,West,Goa,Accessories,USB Cable,2757,5,0.0,13785.0,4167.67,Mar,3,Q1
ORD00571,2025-03-20,CUST0151,Customer 151,South,Kerala,Accessories,Backpack,6219,2,0.0,12438.0,3752.97,Mar,3,Q1
ORD00155,2025-03-21,CUST0041,Customer 41,South,Kerala,Accessories,Wallet,2698,4,0.2,8633.6,2985.51,Mar,3,Q1
ORD00069,2025-03-22,CUST0052,Customer 52,North,Uttar Pradesh,Furniture,Bookshelf,10250,4,0.0,41000.0,10427.75,Mar,3,Q1
ORD00403,2025-03-23,CUST0036,Customer 36,North,Haryana,Technology,Keyboard,53758,4,0.05,204280.4,29496.1,Mar,3,Q1
ORD00573,2025-03-23,CUST0034,Customer 34,West,Maharashtra,Office Supplies,Stapler,1549,4,0.05,5886.2,1994.34,Mar,3,Q1
ORD00141,2025-03-23,CUST0170,Customer 170,North,Punjab,Accessories,Backpack,7811,3,0.0,23433.0,3794.08,Mar,3,Q1
ORD00179,2025-03-23,CUST0125,Customer 125,North,Uttar Pradesh,Technology,Laptop,37141,4,0.1,133707.6,24885.25,Mar,3,Q1
ORD00269,2025-03-24,CUST0168,Customer 168,South,Karnataka,Accessories,Wallet,7249,2,0.2,11598.4,4052.61,Mar,3,Q1
ORD00102,2025-03-25,CUST0154,Customer 154,West,Gujarat,Technology,Monitor,11595,2,0.1,20871.0,7039.19,Mar,3,Q1
ORD00285,2025-03-25,CUST0127,Customer 127,West,Maharashtra,Office Supplies,Printer Paper,499,2,0.0,998.0,236.41,Mar,3,Q1
ORD00535,2025-03-26,CUST0008,Customer 8,South,Kerala,Accessories,Power Bank,4336,2,0.0,8672.0,2242.86,Mar,3,Q1
ORD00356,2025-03-26,CUST0070,Customer 70,South,Tamil Nadu,Furniture,Sofa,2080,1,0.2,1664.0,542.01,Mar,3,Q1
ORD00039,2025-03-27,CUST0069,Customer 69,West,Maharashtra,Office Supplies,File Folder,2374,3,0.0,7122.0,2097.9,Mar,3,Q1
ORD00166,2025-03-28,CUST0143,Customer 143,South,Karnataka,Technology,Monitor,58256,3,0.1,157291.2,44470.24,Mar,3,Q1
ORD00592,2025-03-28,CUST0069,Customer 69,North,Haryana,Furniture,Table Lamp,8696,2,0.1,15652.8,5539.78,Mar,3,Q1
ORD00038,2025-03-30,CUST0122,Customer 122,South,Tamil Nadu,Furniture,Table Lamp,17596,2,0.0,35192.0,12580.1,Mar,3,Q1
ORD00566,2025-03-31,CUST0028,Customer 28,North,Uttar Pradesh,Office Supplies,Printer Paper,978,3,0.15,2493.9,865.5,Mar,3,Q1
ORD00186,2025-03-31,CUST0106,Customer 106,West,Goa,Accessories,USB Cable,5789,2,0.05,10999.1,1601.31,Mar,3,Q1
ORD00334,2025-03-31,CUST0157,Customer 157,East,West Bengal,Furniture,Table Lamp,1802,4,0.05,6847.6,2507.03,Mar,3,Q1
ORD00463,2025-03-31,CUST0051,Customer 51,West,Goa,Accessories,Watch,6423,3,0.05,18305.55,6502.43,Mar,3,Q1
ORD00335,2025-03-31,CUST0178,Customer 178,West,Goa,Accessories,Power Bank,3652,4,0.1,13147.2,4349.15,Mar,3,Q1
ORD00348,2025-04-01,CUST0017,Customer 17,South,Tamil Nadu,Accessories,Backpack,4619,5,0.0,23095.0,5649.55,Apr,4,Q2
ORD00539,2025-04-02,CUST0141,Customer 141,North,Uttar Pradesh,Office Supplies,Pens,1949,4,0.0,7796.0,2954.65,Apr,4,Q2
ORD00409,2025-04-04,CUST0054,Customer 54,South,Telangana,Technology,Smartphone,52927,3,0.0,158781.0,37481.03,Apr,4,Q2
ORD00343,2025-04-04,CUST0008,Customer 8,East,Bihar,Accessories,Power Bank,3462,2,0.05,6577.8,1365.55,Apr,4,Q2
ORD00347,2025-04-04,CUST0093,Customer 93,South,Karnataka,Accessories,Wallet,4672,1,0.1,4204.8,1506.27,Apr,4,Q2
ORD00383,2025-04-04,CUST0178,Customer 178,North,Delhi,Technology,Smartphone,28786,2,0.05,54693.4,12975.86,Apr,4,Q2
ORD00044,2025-04-05,CUST0168,Customer 168,South,Karnataka,Accessories,USB Cable,4163,3,0.0,12489.0,4537.92,Apr,4,Q2
ORD00227,2025-04-05,CUST0002,Customer 2,North,Uttar Pradesh,Accessories,USB Cable,6934,5,0.1,31203.0,5732.97,Apr,4,Q2
ORD00493,2025-04-05,CUST0159,Customer 159,East,Bihar,Furniture,Table Lamp,13150,1,0.05,12492.5,2834.59,Apr,4,Q2
ORD00367,2025-04-05,CUST0147,Customer 147,East,Bihar,Technology,Monitor,36731,3,0.15,93664.05,17411.25,Apr,4,Q2
ORD00438,2025-04-05,CUST0134,Customer 134,East,West Bengal,Office Supplies,File Folder,1058,5,0.05,5025.5,1319.14,Apr,4,Q2
ORD00318,2025-04-06,CUST0079,Customer 79,North,Delhi,Accessories,Wallet,5810,1,0.05,5519.5,2035.35,Apr,4,Q2
ORD00589,2025-04-06,CUST0079,Customer 79,West,Goa,Office Supplies,Stapler,1084,4,0.1,3902.4,1065.71,Apr,4,Q2
ORD00107,2025-04-06,CUST0051,Customer 51,West,Rajasthan,Technology,Laptop,25360,4,0.0,101440.0,36126.24,Apr,4,Q2
ORD00477,2025-04-06,CUST0120,Customer 120,West,Goa,Technology,Smartphone,37930,3,0.15,96721.5,20206.76,Apr,4,Q2
ORD00476,2025-04-06,CUST0004,Customer 4,North,Haryana,Accessories,Watch,3414,2,0.15,5803.8,1531.25,Apr,4,Q2
ORD00413,2025-04-06,CUST0136,Customer 136,South,Kerala,Office Supplies,Stapler,848,5,0.0,4240.0,1576.93,Apr,4,Q2
ORD00369,2025-04-07,CUST0126,Customer 126,North,Haryana,Technology,Keyboard,49892,3,0.0,149676.0,42089.29,Apr,4,Q2
ORD00561,2025-04-09,CUST0103,Customer 103,East,Bihar,Technology,Smartphone,1931,2,0.1,3475.8,1014.69,Apr,4,Q2
ORD00470,2025-04-10,CUST0063,Customer 63,North,Punjab,Accessories,USB Cable,7908,4,0.1,28468.8,6389.06,Apr,4,Q2
ORD00001,2025-04-10,CUST0021,Customer 21,North,Haryana,Furniture,Sofa,6965,3,0.0,20895.0,5637.06,Apr,4,Q2
ORD00376,2025-04-10,CUST0010,Customer 10,South,Telangana,Technology,Headphones,13560,1,0.1,12204.0,2928.3,Apr,4,Q2
ORD00079,2025-04-11,CUST0111,Customer 111,West,Gujarat,Furniture,Table Lamp,8643,1,0.05,8210.85,2373.71,Apr,4,Q2
ORD00323,2025-04-11,CUST0084,Customer 84,South,Karnataka,Accessories,Backpack,7372,3,0.1,19904.4,7333.48,Apr,4,Q2
ORD00527,2025-04-11,CUST0134,Customer 134,East,West Bengal,Technology,Smartphone,22261,4,0.0,89044.0,25172.61,Apr,4,Q2
ORD00344,2025-04-11,CUST0086,Customer 86,North,Haryana,Office Supplies,Notebook,2220,4,0.0,8880.0,3355.14,Apr,4,Q2
ORD00154,2025-04-12,CUST0082,Customer 82,North,Haryana,Furniture,Sofa,9057,3,0.1,24453.9,4244.48,Apr,4,Q2
ORD00328,2025-04-12,CUST0053,Customer 53,North,Uttar Pradesh,Office Supplies,Notebook,1147,5,0.1,5161.5,1661.73,Apr,4,Q2
ORD00559,2025-04-13,CUST0052,Customer 52,East,West Bengal,Office Supplies,Printer Paper,278,2,0.1,500.4,78.26,Apr,4,Q2
ORD00283,2025-04-13,CUST0109,Customer 109,West,Goa,Furniture,Table Lamp,12231,5,0.0,61155.0,11147.96,Apr,4,Q2
ORD00024,2025-04-14,CUST0148,Customer 148,West,Rajasthan,Technology,Headphones,7495,1,0.1,6745.5,2427.07,Apr,4,Q2
ORD00256,2025-04-14,CUST0085,Customer 85,West,Maharashtra,Technology,Keyboard,8439,1,0.05,8017.05,1285.76,Apr,4,Q2
ORD00506,2025-04-14,CUST0044,Customer 44,East,Bihar,Technology,Keyboard,34577,5,0.0,172885.0,49015.23,Apr,4,Q2
ORD00045,2025-04-15,CUST0081,Customer 81,North,Punjab,Furniture,Sofa,16981,2,0.0,33962.0,6266.93,Apr,4,Q2
ORD00221,2025-04-15,CUST0178,Customer 178,East,Odisha,Accessories,Backpack,1212,1,0.0,1212.0,384.72,Apr,4,Q2
ORD00063,2025-04-15,CUST0063,Customer 63,South,Tamil Nadu,Furniture,Office Chair,7670,3,0.05,21859.5,7973.41,Apr,4,Q2
ORD00492,2025-04-16,CUST0068,Customer 68,South,Tamil Nadu,Technology,Headphones,61580,4,0.0,246320.0,34923.34,Apr,4,Q2
ORD00036,2025-04-16,CUST0055,Customer 55,South,Telangana,Accessories,USB Cable,7329,4,0.0,29316.0,4318.57,Apr,4,Q2
ORD00244,2025-04-16,CUST0014,Customer 14,North,Punjab,Technology,Keyboard,18215,2,0.0,36430.0,7203.83,Apr,4,Q2
ORD00435,2025-04-16,CUST0009,Customer 9,East,Bihar,Technology,Smartphone,28613,5,0.0,143065.0,35574.97,Apr,4,Q2
ORD00126,2025-04-18,CUST0153,Customer 153,West,Gujarat,Furniture,Office Chair,8264,2,0.05,15701.6,4358.2,Apr,4,Q2
ORD00534,2025-04-21,CUST0010,Customer 10,North,Punjab,Office Supplies,Pens,2475,5,0.05,11756.25,4323.05,Apr,4,Q2
ORD00313,2025-04-21,CUST0102,Customer 102,West,Goa,Technology,Smartphone,41323,2,0.0,82646.0,23414.47,Apr,4,Q2
ORD00300,2025-04-21,CUST0103,Customer 103,North,Punjab,Furniture,Table Lamp,10414,1,0.05,9893.3,3428.95,Apr,4,Q2
ORD00585,2025-04-22,CUST0126,Customer 126,East,Jharkhand,Furniture,Sofa,7268,2,0.0,14536.0,2197.6,Apr,4,Q2
ORD00067,2025-04-22,CUST0054,Customer 54,South,Kerala,Furniture,Bookshelf,9127,5,0.0,45635.0,8668.99,Apr,4,Q2
ORD00580,2025-04-23,CUST0056,Customer 56,North,Uttar Pradesh,Accessories,Watch,7018,5,0.0,35090.0,9525.93,Apr,4,Q2
ORD00575,2025-04-23,CUST0022,Customer 22,South,Karnataka,Furniture,Table Lamp,15326,5,0.15,65135.5,14609.94,Apr,4,Q2
ORD00099,2025-04-27,CUST0175,Customer 175,West,Maharashtra,Technology,Headphones,57464,5,0.0,287320.0,53819.4,Apr,4,Q2
ORD00182,2025-04-27,CUST0003,Customer 3,West,Maharashtra,Office Supplies,Printer Paper,2212,2,0.2,3539.2,625.31,Apr,4,Q2
ORD00517,2025-04-28,CUST0088,Customer 88,South,Karnataka,Furniture,Sofa,9492,5,0.1,42714.0,12834.51,Apr,4,Q2
